ID,NUM_MANIF,NOMBRE_ADUANA,NOMBRE_NAVE,NOMBRE_AGENTE_DE_NAVES
1,239233,SAN ANTONIO,XIN YA ZHOU,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
2,237767,SAN ANTONIO,BESS,IAN TAYLOR Y CIA. S.A.
3,238749,SAN ANTONIO,MORNING CHORUS,IAN TAYLOR Y CIA. S.A.
4,239633,SAN ANTONIO,MORNING CHERRY,IAN TAYLOR Y CIA. S.A.
5,237395,VALPARAISO,ISOLDANA,ULTRAMAR AGENCIA MARITIMA LIMITADA
6,238250,SAN ANTONIO,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
7,239651,SAN ANTONIO,JASPER ARROW,AGENCIAS UNIVERSALES S.A.
8,239594,SAN ANTONIO,YANTIAN,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
9,240148,VALPARAISO,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA
10,238258,SAN ANTONIO,GOLD HOSHI,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
11,239108,SAN ANTONIO,CMA CGM ESTELLE,IAN TAYLOR Y CIA. S.A.
12,239043,SAN ANTONIO,MSC VIVIENNE,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
13,239461,SAN ANTONIO,ZEAL LUMOS,AGENCIAS UNIVERSALES S.A.
14,236020,VALPARAISO,WAN HAI 517,ULTRAMAR AGENCIA MARITIMA LIMITADA
15,238634,VALPARAISO,RIO DE JANEIRO EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
16,239959,SAN ANTONIO,SANTOS EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
17,239747,SAN ANTONIO,COSCO SHIPPING JIN XIU,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
18,239930,SAN ANTONIO,GRAND SAPPHIRE,IAN TAYLOR Y CIA. S.A.
19,238249,SAN ANTONIO,HEROIC LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
20,236030,SAN ANTONIO,,
21,235595,SAN ANTONIO,,
22,239226,SAN ANTONIO,RCC AFRICA,AGENCIAS UNIVERSALES S.A.
23,238107,SAN ANTONIO,CARRERA,AGENCIAS UNIVERSALES S.A.
24,236392,SAN ANTONIO,SAN MARTIN,AGENCIAS UNIVERSALES S.A.
25,239332,SAN ANTONIO,SAN MARTIN,AGENCIAS UNIVERSALES S.A.
26,235607,SAN ANTONIO,,
27,239159,SAN ANTONIO,VALPARAISO EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
28,239232,VALPARAISO,MSC RAYSHMI,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
29,238421,SAN ANTONIO,CALLAO EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
30,238903,SAN ANTONIO,SALLY MAERSK,IAN TAYLOR Y CIA. S.A.
31,239659,SAN ANTONIO,GENIUS HIGHWAY,AGENCIAS UNIVERSALES S.A.
32,236948,SAN ANTONIO,CZECH,ULTRAMAR AGENCIA MARITIMA LIMITADA
33,238885,SAN ANTONIO,COSCO SHIPPING BRAZIL,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
34,239237,SAN ANTONIO,COSCO ASIA,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
35,240207,SAN ANTONIO,CSCL SPRING,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
36,240119,SAN ANTONIO,CENTURY DREAM,B & M AGENCIA MARITIMA S.A.
37,235589,SAN ANTONIO,,
38,239309,SAN ANTONIO,MORNING LADY,IAN TAYLOR Y CIA. S.A.
39,239494,SAN ANTONIO,SKAGEN MAERSK,IAN TAYLOR Y CIA. S.A.
40,238303,SAN ANTONIO,MORNING LYNN,IAN TAYLOR Y CIA. S.A.
41,ASIAN EMPIRE,SAN ANTONIO,,
42,237137,SAN ANTONIO,CAROLINE MAERSK,IAN TAYLOR Y CIA. S.A.
43,238998,SAN ANTONIO,CMA CGM BEIRA,IAN TAYLOR Y CIA. S.A.
44,235845,SAN ANTONIO,,
45,240008,SAN ANTONIO,POLAR CHILE,IAN TAYLOR Y CIA. S.A.
46,235746,SAN ANTONIO,,
47,239761,VALPARAISO,BOX ENDURANCE,AGENCIAS UNIVERSALES S.A.
48,239722,SAN ANTONIO,CSCL MARS,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
49,239487,SAN ANTONIO,POLAR COLOMBIA,IAN TAYLOR Y CIA. S.A.
50,238919,SAN ANTONIO,POLAR PERU,IAN TAYLOR Y CIA. S.A.
51,239655,SAN ANTONIO,GLOVIS SONIC,AGENCIAS UNIVERSALES S.A.
52,239653,SAN ANTONIO,GLOVIS CHAMPION,AGENCIAS UNIVERSALES S.A.
53,236314,SAN ANTONIO,A.P.MOLLER,IAN TAYLOR Y CIA. S.A.
54,238497,SAN ANTONIO,MSC CANDIDA,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
55,237099,VALPARAISO,MSC ATHENS,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
56,237095,SAN ANTONIO,MSC ATHENS,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
57,238907,SAN ANTONIO,POLAR CHILE,IAN TAYLOR Y CIA. S.A.
58,236978,SAN ANTONIO,CRYSTAL ACE,ULTRAMAR AGENCIA MARITIMA LIMITADA
59,238735,SAN ANTONIO,SEASPAN BRAVO,AGENCIAS UNIVERSALES S.A.
60,239153,VALPARAISO,MAPOCHO,ULTRAMAR AGENCIA MARITIMA LIMITADA
61,238125,SAN ANTONIO,LEO SPIRIT,ULTRAMAR AGENCIA MARITIMA LIMITADA
62,236239,SAN ANTONIO,ERIDANUS LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
63,235769,SAN ANTONIO,MERMAID ACE,ULTRAMAR AGENCIA MARITIMA LIMITADA
64,236772,SAN ANTONIO,GLOVIS COUNTESS,AGENCIAS UNIVERSALES S.A.
65,235357,SAN ANTONIO,GRAND PHOENIX,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
66,239802,TALCAHUANO,MSC BARI,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
67,238977,SAN ANTONIO,MSC CASSANDRE,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
68,239411,SAN ANTONIO,ISTANBUL EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
69,239162,ANTOFAGASTA,CAPE BRUNO,ULTRAMAR AGENCIA MARITIMA LIMITADA
70,236968,SAN ANTONIO,SANTOS EXPRESS,ULTRAMAR AGENCIA MARITIMA LIMITADA
71,239504,SAN ANTONIO,EVER LUNAR,EVERGREEN SHIPPING AGENCY ( CHILE )
72,239316,SAN ANTONIO,GRACEFUL LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
73,235359,SAN ANTONIO,SIRIUS LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
74,237618,SAN ANTONIO,GRAND DOLPHIN,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
75,234567,TALCAHUANO,,
76,238881,SAN ANTONIO,COSCO SHIPPING VOLGA,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.
77,236608,SAN ANTONIO,CARSTEN MAERSK,IAN TAYLOR Y CIA. S.A.
78,239335,SAN ANTONIO,CAPE QUEST,IAN TAYLOR Y CIA. S.A.
79,239657,SAN ANTONIO,EM SPETSES,AGENCIAS UNIVERSALES S.A.
80,238692,TALCAHUANO,SEASPAN BRAVO,AGENCIAS UNIVERSALES S.A.
81,238772,VALPARAISO,YM PLUM,AGENCIAS UNIVERSALES S.A.
82,239330,SAN ANTONIO,AS ANNE,IAN TAYLOR Y CIA. S.A.
83,237969,SAN ANTONIO,HAWAIIAN HIGHWAY,AGENCIAS UNIVERSALES S.A.
84,237891,SAN ANTONIO,GLOVIS COUNTESS,AGENCIAS UNIVERSALES S.A.
85,237952,SAN ANTONIO,MAERSK EINDHOVEN,IAN TAYLOR Y CIA. S.A.
86,239415,IQUIQUE,GENIUS HIGHWAY,AGENCIAS UNIVERSALES S.A.
87,239448,VALPARAISO,JIN RUI,AGENCIAS UNIVERSALES S.A.
88,239526,SAN ANTONIO,MSC BIANCA,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
89,240289,SAN ANTONIO,MSC CHIYO,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
90,235415,SAN ANTONIO,,
91,MSC YASHI B,SAN ANTONIO,,
92,MSC DOMITILLE,SAN ANTONIO,,
93,236618,SAN ANTONIO,SKAGEN MAERSK,IAN TAYLOR Y CIA. S.A.
94,239268,VALPARAISO,CAUTIN,ULTRAMAR AGENCIA MARITIMA LIMITADA
95,239286,SAN ANTONIO,SEAMASTER,AGENCIAS UNIVERSALES S.A.
96,238202,VALPARAISO,FORTUNE ARK,AGENCIAS UNIVERSALES S.A.
97,239745,VALPARAISO,MAERSK EVERGLADES,IAN TAYLOR Y CIA. S.A.
98,234264,VALPARAISO,,
99,238765,ANTOFAGASTA,INDUSTRIAL MOMENTUM,MARITIMA VALPARAISO CHILE SPA
100,239803,SAN ANTONIO,MSC BARI,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
101,238127,SAN ANTONIO,RCC AFRICA,AGENCIAS UNIVERSALES S.A.
102,240141,SAN ANTONIO,EVER FOND,EVERGREEN SHIPPING AGENCY ( CHILE )
103,236242,SAN ANTONIO,GLORIOUS LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
104,235843,SAN ANTONIO,,
105,236312,SAN ANTONIO,CMA CGM ESTELLE,IAN TAYLOR Y CIA. S.A.
106,238409,SAN ANTONIO,TINA I,IAN TAYLOR Y CIA. S.A.
107,236250,VALPARAISO,KOTA SALAM,A. J. BROOM Y CIA. SAC
108,236266,SAN ANTONIO,,
109,236342,VALPARAISO,CAUTIN,ULTRAMAR AGENCIA MARITIMA LIMITADA
110,236128,IQUIQUE,,
111,240031,SAN ANTONIO,CAPE SCOTT,IAN TAYLOR Y CIA. S.A.
112,237773,VALPARAISO,POLAR PERU,IAN TAYLOR Y CIA. S.A.
113,238915,SAN ANTONIO,POLAR ARGENTINA,IAN TAYLOR Y CIA. S.A.
